e, 19
v, 0, 128, 2.31854e-07, 518
t, 0, 128, 0, 518
t, 1, 128, 0, 518
t, 2, 128, 0, 518
t, 3, 128, 0, 518
t, 4, 128, 0, 518
t, 5, 128, 0, 518
t, 6, 128, 0, 518
t, 7, 128, 0, 518
s, 0, 128, 1.15927e-06, 518
s, 1, 128, 1.15927e-06, 518
v, 1, 416.719, -549.078, 757.93
t, 8, 416.719, -549.078, 757.93
t, 9, 416.719, -549.078, 757.93
v, 2, 153.719, -11.2404, 516.287
t, 10, 153.719, -11.2404, 516.287
v, 3, 132.71, -5.23953, 527.153
t, 11, 132.653, -5.21719, 527.196
s, 2, 132.767, -5.26187, 527.109
v, 4, 142.763, -0.109799, 507.948
t, 12, 142.763, -0.109799, 507.948
v, 5, 143.03, -0.428694, 509.146
t, 13, 143.03, -0.428694, 509.146
t, 14, 143.03, -0.428694, 509.146
v, 6, 338.575, -49.6787, 163.317
t, 15, 338.575, -49.6787, 163.317
v, 7, 348.882, -65.0009, 174.833
t, 16, 348.882, -65.0009, 174.833
v, 8, 341.518, 44.5028, -219.208
t, 17, 341.518, 44.5028, -219.208
t, 18, 341.518, 44.5028, -219.208
v, 9, 302.995, -61.2339, 109.083
t, 19, 302.995, -61.2339, 109.083
v, 10, 182.147, -189.003, 1025.35
t, 20, 182.147, -189.003, 1025.35
v, 11, 297.01, -90.2665, 68.9654
t, 21, 297.01, -90.2665, 68.9654
v, 12, 274.152, -119.563, 44.6823
t, 22, 274.152, -119.563, 44.6823
v, 13, 205.527, -333.027, 146.372
t, 23, 205.527, -333.027, 146.372
v, 14, 210.393, 106.389, 581.283
t, 24, 210.393, 106.389, 581.283
t, 25, 210.393, 106.389, 581.283
v, 15, 383.794, -533.699, -68.4775
t, 26, 383.794, -533.699, -68.4775
t, 27, 383.794, -533.699, -68.4775
v, 16, 614.572, 258.115, 1138.45
t, 28, 614.527, 258.007, 1138.06
t, 29, 614.616, 258.224, 1138.84
v, 17, 615.391, 259.134, 1140.03
t, 30, 615.142, 259.141, 1139.91
t, 31, 615.64, 259.126, 1140.15
v, 18, 413.99, -542.16, 774.376
t, 32, 413.99, -542.16, 774.376
