e, 59
v, 0, 128, 3.47189e-07, 518
t, 0, 128, 0, 518
t, 1, 128, 0, 518
t, 2, 128, 0, 518
t, 3, 128, 0, 518
t, 4, 128, 0, 518
t, 5, 128, 0, 518
t, 6, 128, 0, 518
t, 7, 128, 0, 518
t, 8, 128, 0, 518
t, 9, 128, 0, 518
t, 10, 128, 0, 518
t, 11, 128, 0, 518
t, 12, 128, 0, 518
t, 13, 128, 0, 518
t, 14, 128, 0, 518
s, 0, 128, 2.46843e-06, 518
s, 1, 128, 2.46843e-06, 518
s, 3, 128, 8.29861e-07, 518
s, 4, 128, 8.29861e-07, 518
v, 1, 118.057, -1.51129, 558.566
t, 15, 118.057, -1.51129, 558.566
t, 16, 118.057, -1.51129, 558.566
v, 2, 180.768, -36.0865, 532.979
t, 17, 180.768, -36.0865, 532.979
v, 3, 124.373, 10.292, 518.773
t, 18, 124.336, 10.2315, 518.761
s, 2, 124.41, 10.3525, 518.786
v, 4, 117.171, -2.98733, 505.619
t, 19, 117.171, -2.98733, 505.619
v, 5, 331.059, -27.5629, 361.105
t, 20, 331.059, -27.5629, 361.105
v, 6, 194.327, -190.199, 463.276
t, 21, 194.327, -190.199, 463.276
v, 7, 173.242, -130.718, 573.762
t, 22, 173.242, -130.718, 573.762
v, 8, 78.6666, 0.901622, 549.689
t, 23, 78.6666, 0.901622, 549.689
