e, 58
v, 0, 128, -2.35547e-06, 518
t, 0, 128, 0, 518
t, 1, 128, 0, 518
t, 2, 128, 0, 518
t, 3, 128, 0, 518
t, 4, 128, 0, 518
t, 5, 128, 0, 518
t, 6, 128, 0, 518
t, 7, 128, 0, 518
s, 0, 128, -1.17774e-05, 518
s, 1, 128, -1.17774e-05, 518
v, 1, 231.575, 5.0115, 576.51
t, 8, 231.575, 5.0115, 576.51
v, 2, 143.228, -2.32621, 520.204
t, 9, 143.228, -2.32621, 520.204
v, 3, 110.649, -62.7016, 547.225
t, 10, 110.649, -62.7016, 547.225
v, 4, 117.466, 8.10305, 507.154
t, 11, 117.466, 8.10305, 507.154
v, 5, 126.675, -1.25542, 519.26
t, 12, 126.675, -1.25542, 519.26
t, 13, 126.675, -1.25542, 519.26
t, 14, 126.675, -1.25542, 519.26
v, 6, 128.897, -0.287959, 517.278
t, 15, 128.897, -0.287959, 517.278
t, 16, 128.897, -0.287959, 517.278
t, 17, 128.897, -0.287959, 517.278
t, 18, 128.897, -0.287959, 517.278
v, 7, 286.614, -0.420504, 482.759
t, 19, 286.614, -0.420504, 482.759
t, 20, 286.614, -0.420504, 482.759
t, 21, 286.614, -0.420504, 482.759
t, 22, 286.614, -0.420504, 482.759
v, 8, 799.681, 140.309, 939.013
t, 23, 799.682, 140.299, 939.026
t, 24, 799.681, 140.32, 938.999
v, 9, 324.537, 51.1957, 518.721
t, 25, 324.537, 51.1957, 518.721
v, 10, -77.0881, -300.539, 219.362
t, 26, -77.0881, -300.539, 219.362
v, 11, 339.793, -34.1898, 543.553
t, 27, 339.793, -34.1898, 543.553
v, 12, 354.393, -6.97372, 392.058
t, 28, 354.393, -6.97372, 392.058
v, 13, 401.111, 397.742, 220.658
t, 29, 401.111, 397.742, 220.658
v, 14, 288.169, 0.260091, 484.739
t, 30, 288.169, 0.260091, 484.739
t, 31, 288.169, 0.260091, 484.739
v, 15, 207.371, 16.7251, 514.578
t, 32, 207.371, 16.7251, 514.578
v, 16, 270.103, 124.401, 410.392
t, 33, 270.103, 124.401, 410.392
