e, 94
v, 0, 128, 1.45902e-06, 518
t, 0, 128, 0, 518
t, 1, 128, 0, 518
t, 2, 128, 0, 518
s, 0, 128, 3.64754e-06, 518
s, 1, 128, 3.64754e-06, 518
v, 1, 136.59, 14.7686, 523.827
t, 3, 136.59, 14.7686, 523.827
v, 2, 129.163, 34.3386, 516.676
t, 4, 129.163, 34.3386, 516.676
v, 3, 133.198, -11.927, 517.927
t, 5, 133.198, -11.927, 517.927
v, 4, 133.984, -15.0849, 517.472
t, 6, 133.984, -15.0849, 517.472
t, 7, 133.984, -15.0849, 517.472
t, 8, 133.984, -15.0849, 517.472
v, 5, 126.647, -26.2999, 519.565
t, 9, 126.647, -26.2999, 519.565
v, 6, 135.021, 18.0479, 513.026
t, 10, 135.021, 18.0479, 513.026
v, 7, 138.364, 17.954, 526.691
t, 11, 138.364, 17.954, 526.691
