e, 91
v, 0, 128, -1.90715e-08, 518
t, 0, 128, 0, 518
t, 1, 128, 0, 518
t, 2, 128, 0, 518
t, 3, 128, 0, 518
t, 4, 128, 0, 518
t, 5, 128, 0, 518
t, 6, 128, 0, 518
t, 7, 128, 0, 518
s, 0, 128, -9.53576e-08, 518
s, 1, 128, -9.53576e-08, 518
v, 1, 55.0876, 115.708, 409.943
t, 8, 55.0876, 115.708, 409.943
v, 2, 93.1328, -84.0255, 411.794
t, 9, 93.1328, -84.0255, 411.794
t, 10, 93.1328, -84.0255, 411.794
t, 11, 93.1328, -84.0255, 411.794
v, 3, 130.849, 0.492756, 511.009
t, 12, 130.849, 0.492756, 511.009
t, 13, 130.849, 0.492756, 511.009
t, 14, 130.849, 0.492756, 511.009
v, 4, 96.4364, -2.69263, 528.621
t, 15, 96.4364, -2.69263, 528.621
v, 5, 279.83, 96.3238, 435.504
t, 16, 279.83, 96.3238, 435.504
v, 6, -621.084, 180.507, 511.628
t, 17, -621.084, 180.507, 511.628
v, 7, 106.214, -24.1191, 535.404
t, 18, 106.214, -24.1191, 535.404
v, 8, 132.257, 0.169448, 515.062
t, 19, 132.197, 0.128637, 515.036
s, 2, 132.317, 0.210258, 515.088
v, 9, 110.548, -29.2659, 512.898
t, 20, 110.598, -29.3073, 512.87
s, 3, 110.499, -29.2246, 512.926
v, 10, -619.97, 187.425, 505.508
t, 21, -619.97, 187.425, 505.508
v, 11, -658.574, 219.587, 447.769
t, 22, -658.569, 219.642, 447.795
t, 23, -658.58, 219.532, 447.743
v, 12, 390.302, 397.99, 273.588
t, 24, 390.302, 397.99, 273.588
t, 25, 390.302, 397.99, 273.588
v, 13, 450.251, 626.573, 239.367
t, 26, 450.251, 626.573, 239.367
v, 14, 621.11, 814.255, -54.3638
t, 27, 621.11, 814.255, -54.3638
v, 15, 595.214, 532.042, -160.06
t, 28, 595.214, 532.042, -160.06
v, 16, 18.4405, -183.921, 282.16
t, 29, 18.4405, -183.921, 282.16
v, 17, 11.3969, -177.559, 277.034
t, 30, 11.3969, -177.559, 277.034
v, 18, 73.0649, -104.676, 384.782
t, 31, 73.0649, -104.676, 384.782
