e, 32
v, 0, 128, -3.56163e-07, 518
t, 0, 128, 0, 518
t, 1, 128, 0, 518
t, 2, 128, 0, 518
t, 3, 128, 0, 518
t, 4, 128, 0, 518
t, 5, 128, 0, 518
t, 6, 128, 0, 518
t, 7, 128, 0, 518
s, 0, 128, -1.78081e-06, 518
s, 1, 128, -1.78081e-06, 518
v, 1, 131.92, -8.69424, 548.009
t, 8, 131.92, -8.69424, 548.009
t, 9, 131.92, -8.69424, 548.009
t, 10, 131.92, -8.69424, 548.009
v, 2, 135.889, -1.21833, 519.038
t, 11, 135.889, -1.21833, 519.038
t, 12, 135.889, -1.21833, 519.038
v, 3, 126.879, 9.33315, 520.618
t, 13, 126.83, 9.28512, 520.648
s, 2, 126.928, 9.38118, 520.589
v, 4, 97.3035, -19.5169, 473.092
t, 14, 97.3035, -19.5169, 473.092
v, 5, 131.112, 50.8628, 478.678
t, 15, 131.112, 50.8628, 478.678
t, 16, 131.112, 50.8628, 478.678
t, 17, 131.112, 50.8628, 478.678
t, 18, 131.112, 50.8628, 478.678
v, 6, 132.703, 50.9059, 476.376
t, 19, 132.703, 50.9059, 476.376
v, 7, 91.6232, -215.466, 365.818
t, 20, 91.6232, -215.466, 365.818
v, 8, 107.721, -210, 345.007
t, 21, 107.721, -210, 345.007
