e, 71
v, 0, 128, 1.07335e-07, 518
t, 0, 128, 0, 518
t, 1, 128, 0, 518
t, 2, 128, 0, 518
s, 0, 128, 1.27757e-06, 518
s, 1, 128, 1.27757e-06, 518
s, 2, 128, -2.42287e-07, 518
s, 3, 128, -2.42287e-07, 518
s, 4, 128, -5.5228e-07, 518
s, 5, 128, -5.5228e-07, 518
v, 1, 97.962, -5.91077, 569.174
t, 3, 97.962, -5.91077, 569.174
t, 4, 97.962, -5.91077, 569.174
v, 2, 149.919, -9.90751, 473.524
t, 5, 149.919, -9.90751, 473.524
t, 6, 149.919, -9.90751, 473.524
v, 3, 201.937, 65.0665, 531.108
t, 7, 201.937, 65.0665, 531.108
v, 4, 267.718, 5.02503, 509.107
t, 8, 267.718, 5.02503, 509.107
v, 5, 863.332, -46.0428, 696.304
t, 9, 863.332, -46.0428, 696.304
v, 6, 900.982, -131.588, 603.295
t, 10, 900.982, -131.588, 603.295
t, 11, 900.982, -131.588, 603.295
v, 7, 100.54, -21.104, 462.38
t, 12, 100.54, -21.104, 462.38
